City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,honiara,-9.4333,159.95,24.96,94,100,3.58,SB,1675655754
342,shaoyang,27.2315,111.4525,9.06,85,100,0.96,CN,1675655755
343,san jose,37.3394,-121.895,9.9,81,75,3.09,US,1675655103
344,taltal,-25.4,-70.4833,20.85,84,5,1.41,CL,1675655755
345,sitka,57.0531,-135.33,5.94,65,100,11.32,US,1675655662
346,kavieng,-2.5744,150.7967,28.91,70,83,2.86,PG,1675655756
347,gogrial,8.5332,28.1004,22.61,19,50,2.0,SS,1675655756
348,grand gaube,-20.0064,57.6608,28.54,73,89,2.68,MU,1675655756
349,pingyi,35.5006,117.6308,10.83,47,18,1.7,CN,1675655757
350,dongsheng,39.8161,109.9776,-1.07,28,16,1.91,CN,1675655513
351,coos bay,43.3665,-124.2179,8.85,81,100,2.57,US,1675655111
352,chokurdakh,70.6333,147.9167,-37.05,100,92,1.15,RU,1675655627
353,kapit,2.0167,112.9333,29.07,77,100,0.69,MY,1675655758
354,kupang,-10.1667,123.5833,31.32,70,75,5.14,ID,1675655554
355,sur,22.5667,59.5289,22.55,61,6,1.87,OM,1675655758
356,kieta,-6.2167,155.6333,27.25,80,100,2.15,PG,1675655758
357,port hardy,50.6996,-127.4199,6.1,87,100,2.57,CA,1675655759
358,coahuayana,18.7333,-103.6833,21.02,83,0,1.4,MX,1675655759
359,breves,-1.6822,-50.4803,22.41,97,82,1.35,BR,1675655760
360,ciudad del maiz,22.4,-99.6,10.2,84,0,1.02,MX,1675655760
361,makakilo city,21.3469,-158.0858,26.18,66,75,9.26,US,1675655760
362,cabo san lucas,22.8909,-109.9124,21.4,75,71,5.65,MX,1675655761
363,winnipeg,49.8844,-97.147,-7.79,91,100,10.8,CA,1675655115
364,tezu,27.9167,96.1667,23.95,23,38,1.95,IN,1675655761
